total_articles,fiscal_articles,tariff_fiscal_articles,non_tariff_fiscal_articles,rate,tariff_rate,non_tariff_rate,fiscal_policy_index,tariff_fiscal_index,non_tariff_fiscal_index
26,6,4,2,0.23076923076923078,0.15384615384615385,0.07692307692307693,70.62813181575177,73.85025307086633,64.95968834187198
21,8,5,3,0.38095238095238093,0.23809523809523808,0.14285714285714285,116.59247156886006,114.29205832395976,120.63942120633367
21,5,3,2,0.23809523809523808,0.14285714285714285,0.09523809523809523,72.87029473053754,68.57523499437586,80.42628080422244
21,4,3,1,0.19047619047619047,0.14285714285714285,0.047619047619047616,58.29623578443003,68.57523499437586,40.21314040211122
23,7,2,5,0.30434782608695654,0.08695652173913043,0.21739130434782608,93.1472463077306,41.74144738788096,183.58172792268167
23,4,1,3,0.17391304347826086,0.043478260869565216,0.13043478260869565,53.22699789013177,20.87072369394048,110.14903675360901
19,4,2,2,0.21052631578947367,0.10526315789473684,0.10526315789473684,64.4326816564753,50.52912052217169,88.89220509940375
24,8,1,7,0.3333333333333333,0.041666666666666664,0.2916666666666667,102.01841262275255,20.00111020669296,246.30548496293127
17,5,2,3,0.29411764705882354,0.11764705882352941,0.17647058823529413,90.0162464318405,56.47372293654483,149.02516737252984
24,4,2,2,0.16666666666666666,0.08333333333333333,0.08333333333333333,51.009206311376275,40.00222041338592,70.37299570369464
21,7,1,6,0.3333333333333333,0.047619047619047616,0.2857142857142857,102.01841262275255,22.858411664791955,241.27884241266733
21,6,2,4,0.2857142857142857,0.09523809523809523,0.19047619047619047,87.44435367664505,45.71682332958391,160.8525616084449
21,2,1,1,0.09523809523809523,0.047619047619047616,0.047619047619047616,29.148117892215016,22.858411664791955,40.21314040211122
13,2,1,1,0.15384615384615385,0.07692307692307693,0.07692307692307693,47.08542121050118,36.925126535433165,64.95968834187198
18,4,3,1,0.2222222222222222,0.16666666666666666,0.05555555555555555,68.01227508183504,80.00444082677184,46.915330469129756
19,1,0,1,0.05263157894736842,0.0,0.05263157894736842,16.108170414118824,0.0,44.44610254970188
29,6,5,1,0.20689655172413793,0.1724137931034483,0.034482758620689655,63.32177335205331,82.76321464838468,29.11986029118399
25,5,5,0,0.2,0.2,0.0,61.211047573651534,96.00532899212621,0.0
21,3,3,0,0.14285714285714285,0.14285714285714285,0.0,43.722176838322525,68.57523499437586,0.0
27,5,4,1,0.18518518518518517,0.14814814814814814,0.037037037037037035,56.6768959015292,71.11505851268608,31.27688697941984
20,7,4,3,0.35,0.2,0.15,107.11933325389018,96.00532899212621,126.67139226665034
17,5,2,3,0.29411764705882354,0.11764705882352941,0.17647058823529413,90.0162464318405,56.47372293654483,149.02516737252984
20,5,3,2,0.25,0.15,0.1,76.51380946706442,72.00399674409465,84.44759484443357
24,7,3,4,0.2916666666666667,0.125,0.16666666666666666,89.26611104490848,60.003330620078884,140.74599140738928
27,4,3,1,0.14814814814814814,0.1111111111111111,0.037037037037037035,45.34151672122336,53.33629388451456,31.27688697941984
20,4,2,2,0.2,0.1,0.1,61.211047573651534,48.002664496063105,84.44759484443357
19,6,2,4,0.3157894736842105,0.10526315789473684,0.21052631578947367,96.64902248471294,50.52912052217169,177.7844101988075
27,9,4,5,0.3333333333333333,0.14814814814814814,0.18518518518518517,102.01841262275255,71.11505851268608,156.3844348970992
23,5,3,2,0.21739130434782608,0.13043478260869565,0.08695652173913043,66.53374736266471,62.612171081821444,73.43269116907265
21,5,2,3,0.23809523809523808,0.09523809523809523,0.14285714285714285,72.87029473053754,45.71682332958391,120.63942120633367
23,6,2,4,0.2608695652173913,0.08695652173913043,0.17391304347826086,79.84049683519765,41.74144738788096,146.8653823381453
19,4,1,3,0.21052631578947367,0.05263157894736842,0.15789473684210525,64.4326816564753,25.264560261085844,133.33830764910564
22,6,1,5,0.2727272727272727,0.045454545454545456,0.22727272727272727,83.46961032770663,21.81939295275596,191.92635191916722
23,7,2,5,0.30434782608695654,0.08695652173913043,0.21739130434782608,93.1472463077306,41.74144738788096,183.58172792268167
21,6,3,3,0.2857142857142857,0.14285714285714285,0.14285714285714285,87.44435367664505,68.57523499437586,120.63942120633367
21,7,2,5,0.3333333333333333,0.09523809523809523,0.23809523809523808,102.01841262275255,45.71682332958391,201.0657020105561
27,12,9,3,0.4444444444444444,0.3333333333333333,0.1111111111111111,136.02455016367009,160.00888165354368,93.83066093825951
16,2,2,0,0.125,0.125,0.0,38.25690473353221,60.003330620078884,0.0
19,9,6,3,0.47368421052631576,0.3157894736842105,0.15789473684210525,144.97353372706942,151.58736156651506,133.33830764910564
18,3,2,1,0.16666666666666666,0.1111111111111111,0.05555555555555555,51.009206311376275,53.33629388451456,46.915330469129756
19,6,5,1,0.3157894736842105,0.2631578947368421,0.05263157894736842,96.64902248471294,126.32280130542921,44.44610254970188
17,7,4,3,0.4117647058823529,0.23529411764705882,0.17647058823529413,126.02274500457669,112.94744587308966,149.02516737252984
29,8,5,3,0.27586206896551724,0.1724137931034483,0.10344827586206896,84.42903113607109,82.76321464838468,87.35958087355196
20,6,3,3,0.3,0.15,0.15,91.8165713604773,72.00399674409465,126.67139226665034
18,5,3,2,0.2777777777777778,0.16666666666666666,0.1111111111111111,85.0153438522938,80.00444082677184,93.83066093825951
18,7,1,6,0.3888888888888889,0.05555555555555555,0.3333333333333333,119.02148139321132,26.66814694225728,281.49198281477857
26,7,4,3,0.2692307692307692,0.15384615384615385,0.11538461538461539,82.39948711837705,73.85025307086633,97.43953251280797
23,3,2,1,0.13043478260869565,0.08695652173913043,0.043478260869565216,39.92024841759883,41.74144738788096,36.71634558453633
20,6,4,2,0.3,0.2,0.1,91.8165713604773,96.00532899212621,84.44759484443357
18,3,2,1,0.16666666666666666,0.1111111111111111,0.05555555555555555,51.009206311376275,53.33629388451456,46.915330469129756
15,5,4,1,0.3333333333333333,0.26666666666666666,0.06666666666666667,102.01841262275255,128.00710532283495,56.29839656295571
21,8,5,3,0.38095238095238093,0.23809523809523808,0.14285714285714285,116.59247156886006,114.29205832395976,120.63942120633367
